1.png sxxxxxxxxxs7777s3333333333s666666s=========s/////s77777ss4444s888888s22s/////////
2.png s6666666s=======s++++++++++++s33333s+++++++s222s66666ss111s11s3333s44444s55555555
3.png s88888s11s11s2222222s2222222s222222222222s2222222s999999sxxxxxxxxxs000000s6666666
4.png s111s1ss22222222s1111111s7777s77777s33333s1s999s111111s===========s5555555s777777
5.png s1s2222222s333sxxxxxxxxxxs8888888888s6666666s777777s222222s0000000s66666s22222222
6.png s111s+++++++++++s==========s2222222s33333333333s5555555s++++++++++++sxxxxxxxxxxxx
7.png s333333s========s55555s1s000000000s666s333333333s2222s=======s============s888888
8.png s6666666sxxxxxxxxxxs5555sxxxxxxxxxs666s111s2222222222s11s33s////////s2222s=======
9.png s8888888s11s33333s1s55555555s----------s///////////s1111111111s=========s444s3333
10.png s4444s99999s666s22222222222s222s0000s66666s333333333ss===========s9999999999s1111
11.png s22222s4444444s222222222s2222222s4444444s999s444444444s88888s2222222222222s444444
12.png s7777s444444s1s========s11s1111ss11s========s444s11111s22222222222s--------s22222
13.png s============s99999s7777s//////////s77777s222222222s3333s+++++++++++s111s========
14.png s2222222s2222s============s2222s88888s11s222s000000000s11s666666s8s111s8888s77777
15.png s4444s777777s==========s555555s777777s11111111s22222222s11s555555s1s222222s333333
16.png s11s33333s=========s11111s+++++++s1111s22222222s1s9999999s000s=========s222222222
17.png s22222222222s2222s=======s++++++++s00000000s0000s22222222s33333s22222s4444s------
18.png s88888s2222s1111s777s222222s777777777s555555s000000s11s9999ss88888888s111s1111111
19.png s///////////s11111s666666666s33333s88888s444444s111111s-------s7777777s6666666666
20.png s777777s111s33333s666s333333s77777s77777777sxxxxxxxxxxs7777777s1111111ss/////////
21.png s000000s11s0000000000s5555555s22222222222s44444s111s2222222s000000000s555s7777777
22.png s9999s++++++++s555555555s++++++++++s777777ss7777777s6666s777s2222222s============
23.png s1111s++++++++++++s66666s+++++++++++s4444s9999999s22222s111ss3333333s++++++++++++
24.png s=========s777s11s1s0000000000s2222222222ss1111111s000000s5555555s0000000000s7777
25.png ss999999s+++++++s2222sxxxxxxxxxxxxss3333s333333s-------s2222222222s11s9999s111111
26.png s666666s33333s========s==========s666666s========s00000s11111111s0000s22222222222
27.png s777777s333333s6666s44444444s999999s999s22222222222s6666666666s6666s444s555555555
28.png s===========s444s22222222222s22222222s22222222s999999s22222222222s333s22222222222
29.png s777777ss888888s2222222s1s//////s66666s888888s222222s444444s777s++++++++++s222222
30.png s111111111s44444s2222222s6666s2222222s33333s=====ss1s+++++++++++s2222222s88888888
31.png ss99999s-----------s00000s=============s5555555sxxxxxxxxxxxxs999s2222s33333333333
32.png s999999999s7777777777s55555s99999999s111111s666666s0000000000s22222s444444s444444
33.png s222222222s++++++++++s4444444ss///////s88888888s222222s22s111s+++++++s777777s2222
34.png s=========s888888888s4444s333333333333s99999s222222222222s3333333s++++++s555s6666
35.png s77777s44444s99999s77777s===========s8888888s4444444s777777777s22222s333333333s11
36.png s333sxxxxxxs222222222s999999s222222s3333333s4444444s666s2222222s88888888888s66666
37.png s999999s66666666666s11s11s========s99999s3333333s333333333s+++++++++s1s2222222222
38.png s22222222s999s8888888s11s888s222222s666666s11s4444444s33333s999s/////////s4444444
39.png s=======s22222222s22222s333s6666666s22222222222s77777s00000000s444444s00000000000
40.png s00000000s55555s======s00000000000s0000000s2222222s77777s55555555s999999s////////
41.png s1s=======s77777s1s222222222s+++++++s/////////s=============s8888888s33333s111s77
42.png s44444s88888s2222222s00000000000s44s3333s/////////sxxxxxxxs333333333s======s66666
43.png s000000s88888sxxxxxxxs333333ss888888s222222222222s333333s3333s1111s2222222s333333
44.png s777s==========s111111s44444444444sxxxxxxs11111s33333s666s33333s666ss222222222222
45.png s======ss22222222222s8888s9999999s2222222s555555555s1111111s444s=======s333333333
46.png sxxxxxxxs===========s00s22222s444444444s11s+++++++s222222s222222s1111s6666s222222
47.png s+++++++++++s333333s333333s66666666s3333s33333333333s777777777777s22222222sxxxxxx
48.png s333333333s6666s111s3333s4444ss++++++s222222s33333s66s/////////s222222222222s4444
49.png s7777s22222222sxxxxxxxxxxxxs4444444s4444s6666s2222222222s222222s0000000000s111111
50.png s4444444s3333333s000000s++++++++++s22222s7777777s++++++s222222s44444s77777s333333
51.png s5555555s=============s3333333333ss8888888s666666s777777s33333s222222222s999s4444
52.png s1s00000s0000000s88888s11s1s6666s1s222222222s1s33s3333s33333333sxxxxxxxxxxxs88888
53.png s========s3333s2222222s======s22222222s1111ss77777s1111s88888s11s9999s2222s333333
54.png s333333s1s7777s555s222222s222s5555s1111sxxxxxxxxxxxs1s0000000s1111s11sxxxxxxxxxxx
55.png s55555555s222222s555555s-----s444444s22222222222ss1111111111s8888888s8888888s1111
56.png s3333s5555555s666s1111s11111s999999s/////s000000s=========s==========s4444s444444
57.png s22222222s444444s666s99999s0000000000s00000000s111111s33333333s33333s1s2222222222
58.png s33333333333s------------s1111s99999s0000s99999s99999s1s2222222222s000000s4444444
59.png s========s66666666666s+++++++++s7777s2222s333s444s99999s0000000s8888888s+++++++++
60.png s=======s444444444s============s66666s4444444444s2222222222s1s3333s8888s111111111
61.png s++++++++s00000000000s222222s++++++++++s++++++++s1s4444s222222s77777s222222222222
62.png s+++++++++++s3333s000000000s2222222s999999s///////s999999999s000000s333333s888888
63.png s+++++++++s222222s55555s4444444444s5555s1s===========s55555555555s3333333s=======
64.png s2222222s1s=========s777s888888888888s2222222s22222222222ss===========s==========
65.png s11s222222s111s000000000000s+++++++++++s33333333sxxxxxxxs77s66666ss222s//////////
66.png s8888888s--------s44444444s77777777s8888s88888s1111111111111s111111s444444444s111
67.png s11s33333333333s222222s8888s333333s111s==========s++++++++++++s88888s666666666666
68.png s22222222222s2222222222s666666s==========s11s44444s5555555s2222222222s222222s8888
69.png s5555555s222222222222s//////s1s=============s9999999s44444s1111s66666666s========
70.png s------------s666666s1s++++++++s6666s22222s4444444444s3333s3333333333s888888s9999
71.png s555s11s22222s2222222s8888s777777s000s2222222s555555s2222s66666s11s00000s77777777
72.png s0000000s11s=======s666666s===========s2222222s555s8888s00000000s2222222s00000000
73.png s2222s2222222222222s11s2222222s66666s11ss8888888s22222222222s333333s00000000s1111
74.png s55555s============s22222222s666666s11s222222222s6666666s11111s5555555s7777s/////
75.png s7777777s333s222222222222s777s333333s9999s999999s7777777s/////////s9999s/////////
76.png s-------s2222222222222s11111111sxxxxxxs66666s+++++++++++s000000000s111111s222222s
77.png s11111s777777s1111sxxxxxxxxxs888888s///////s555555555s999999s666s00000000s+++++++
78.png s3333333s222222s0000000s333s333s00000s66666s6666666s44444s============s333333s111
79.png s6666666s44444s222222222s444444s1s1s88888s===========s44s000000s00000000s11111111
80.png s33333333s5555555s1111s///////s0000000000s2222222s11s22222222s66666666s222222s888
81.png s11s888s2222222s22222222ss222222222s11s0000s22222222s111111s33333s22222222222s444
82.png s==========ss111s3333333333s3333333s111s22222ss999999999s0000s666s444s======s3333
83.png s8888888s3333s++++++++++++s888888888sxxxxxxxxxxs777777777s11s8888888s000000s22222
84.png s666666s222222s55555s22222s======s88888s7777s99999s666s111s22222222s4s4444s444444
85.png s//////s222222s55555555s444444s00000000s//////s0000000000s55555555s77777s========
86.png s4444444s1111ss22222222222s111s2222222s44444444s000000s222222s666666s2222222s8888
